HandType,PlayerTotal,DealerCard,EV_Stand,EV_Hit,EV_Double,OptimalMove
Hard,5,2,-0.287918,-0.286478,-0.576072,H
Hard,5,3,-0.246146,-0.24593,-0.491672,H
Hard,5,4,-0.207372,-0.20618,-0.413172,H
Hard,5,5,-0.163172,-0.165402,-0.33068,S
Hard,5,6,-0.121762,-0.121498,-0.242788,H
Hard,5,7,-0.475278,-0.47547,-0.94842,S
Hard,5,8,-0.509418,-0.50854,-1.02312,H
Hard,5,9,-0.541058,-0.54167,-1.08394,S
Hard,5,10,-0.57469,-0.574546,-1.15112,H
Hard,5,11,-0.722346,-0.722432,-1.44166,S
Hard,6,2,-0.28767,-0.277731,-0.555722,H
Hard,6,3,-0.246302,-0.235884,-0.47352,H
Hard,6,4,-0.205794,-0.196357,-0.396248,H
Hard,6,5,-0.164644,-0.154298,-0.312876,H
Hard,6,6,-0.12054,-0.113406,-0.22522,H
Hard,6,7,-0.474688,-0.446348,-0.890252,H
Hard,6,8,-0.509504,-0.501476,-0.99916,H
Hard,6,9,-0.544316,-0.533722,-1.06579,H
Hard,6,10,-0.57529,-0.56569,-1.13396,H
Hard,6,11,-0.721716,-0.716899,-1.43501,H
Hard,7,2,-0.286128,-0.215442,-0.438302,H
Hard,7,3,-0.246346,-0.179391,-0.358136,H
Hard,7,4,-0.20737,-0.140317,-0.279112,H
Hard,7,5,-0.165346,-0.101527,-0.20175,H
Hard,7,6,-0.122088,-0.060403,-0.120884,H
Hard,7,7,-0.473136,-0.294779,-0.58904,H
Hard,7,8,-0.511122,-0.424661,-0.847296,H
Hard,7,9,-0.540754,-0.476489,-0.956902,H
Hard,7,10,-0.575058,-0.514717,-1.03084,H
Hard,7,11,-0.721838,-0.683553,-1.36622,H
Hard,8,2,-0.287014,-0.102837,-0.205514,H
Hard,8,3,-0.246314,-0.070322,-0.139016,H
Hard,8,4,-0.207124,-0.035136,-0.068144,H
Hard,8,5,-0.164146,0.000748,0.001596,D
Hard,8,6,-0.121082,0.037465,0.072416,D
Hard,8,7,-0.474546,-0.094089,-0.188632,H
Hard,8,8,-0.509514,-0.225054,-0.45414,H
Hard,8,9,-0.541518,-0.357945,-0.716462,H
Hard,8,10,-0.574744,-0.419061,-0.839164,H
Hard,8,11,-0.721138,-0.594519,-1.1893,H
Hard,9,2,-0.286108,0.029003,0.055548,D
Hard,9,3,-0.247604,0.059988,0.114744,D
Hard,9,4,-0.205672,0.090249,0.179008,D
Hard,9,5,-0.165996,0.120932,0.24169,D
Hard,9,6,-0.12112,0.153017,0.302642,D
Hard,9,7,-0.474104,0.052377,0.099852,D
Hard,9,8,-0.510578,-0.016032,-0.026934,H
Hard,9,9,-0.542468,-0.149451,-0.302136,H
Hard,9,10,-0.57428,-0.290866,-0.580536,H
Hard,9,11,-0.72102,-0.466055,-0.930358,H
Hard,10,2,-0.287946,0.177909,0.35824,D
Hard,10,3,-0.246872,0.204114,0.410254,D
Hard,10,4,-0.206044,0.229921,0.45919,D
Hard,10,5,-0.164432,0.256293,0.512374,D
Hard,10,6,-0.121196,0.282754,0.565134,D
Hard,10,7,-0.473562,0.194989,0.3914,D
Hard,10,8,-0.511862,0.142873,0.283642,D
Hard,10,9,-0.541466,0.071851,0.141592,D
Hard,10,10,-0.574576,-0.07469,-0.148708,H
Hard,10,11,-0.72099,-0.295967,-0.590078,H
Hard,11,2,-0.287042,0.235439,0.470368,D
Hard,11,3,-0.24586,0.26018,0.516454,D
Hard,11,4,-0.20697,0.28432,0.567282,D
Hard,11,5,-0.165018,0.308391,0.616932,D
Hard,11,6,-0.12269,0.333453,0.664766,D
Hard,11,7,-0.474932,0.231515,0.461666,D
Hard,11,8,-0.509944,0.175375,0.34961,D
Hard,11,9,-0.54224,0.112815,0.226698,D
Hard,11,10,-0.574762,0.030091,0.057632,D
Hard,11,11,-0.721542,-0.177357,-0.354744,H
Hard,12,2,-0.28613,-0.252054,-0.508562,H
Hard,12,3,-0.246592,-0.232879,-0.465644,H
Hard,12,4,-0.206736,-0.211791,-0.423534,S
Hard,12,5,-0.165618,-0.191318,-0.381626,S
Hard,12,6,-0.122846,-0.171239,-0.342844,S
Hard,12,7,-0.473848,-0.250134,-0.499192,H
Hard,12,8,-0.50988,-0.306701,-0.615512,H
Hard,12,9,-0.542634,-0.367066,-0.735984,H
Hard,12,10,-0.573626,-0.438269,-0.876766,H
Hard,12,11,-0.721178,-0.574137,-1.14781,H
Hard,13,2,-0.286888,-0.307955,-0.61469,S
Hard,13,3,-0.247222,-0.290625,-0.584708,S
Hard,13,4,-0.207416,-0.272645,-0.546902,S
Hard,13,5,-0.165872,-0.256388,-0.50884,S
Hard,13,6,-0.121538,-0.239422,-0.477976,S
Hard,13,7,-0.474914,-0.292055,-0.585754,H
Hard,13,8,-0.508452,-0.342754,-0.689614,H
Hard,13,9,-0.541436,-0.40153,-0.804882,H
Hard,13,10,-0.574312,-0.469324,-0.940312,H
Hard,13,11,-0.721386,-0.594599,-1.19102,H
Hard,14,2,-0.286956,-0.363039,-0.72519,S
Hard,14,3,-0.248032,-0.349875,-0.69599,S
Hard,14,4,-0.206242,-0.334409,-0.66883,S
Hard,14,5,-0.164462,-0.319793,-0.640686,S
Hard,14,6,-0.121818,-0.306121,-0.610856,S
Hard,14,7,-0.475598,-0.332612,-0.665934,H
Hard,14,8,-0.511522,-0.381638,-0.762838,H
Hard,14,9,-0.541494,-0.438712,-0.875256,H
Hard,14,10,-0.574396,-0.503109,-1.00453,H
Hard,14,11,-0.721728,-0.615374,-1.23383,H
Hard,15,2,-0.287164,-0.416995,-0.832212,S
Hard,15,3,-0.24707,-0.408967,-0.80973,S
